Reference, Value, Footprint, Datasheet, manf#, Field4, Field5, Field6, Field7
"SW1","RST","Buttons_Switches_SMD:SW_SPST_B3U-1000P","","B3U-1000P","","","",""
"C4","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","885012207072","","","",""
"C5","0.1uF","Capacitors_SMD:C_0805_HandSoldering","","885012207072","","","",""
"U2","RFM95W-868S2","agroin:RFM95W","SMD-16 Hope Microelectronics","","RFM95W-868S2","Warning","7.22 USD","RF"
"U1","ATSAMD21E","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","","ATSAMD21E15B-AUT","","","",""
"C3","1uF","Capacitors_SMD:C_0805_HandSoldering","","GRM21BC80J106KE19L","","","",""
"J4","SWD","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J5","Serial","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm",""
"AE1","Antenna_Shield","agroin:SMA_EDGE",""
"MK1","Mounting_Hole","Mounting_Holes:MountingHole_3.5mm_Pad_Via",""
"MK3","Mounting_Hole","Mounting_Holes:MountingHole_3.5mm_Pad_Via",""
"MK2","Mounting_Hole","Mounting_Holes:MountingHole_3.5mm_Pad_Via",""
"MK4","Mounting_Hole","Mounting_Holes:MountingHole_3.5mm_Pad_Via",""
"U7","AP2114H-3.3TRG1","TO_SOT_Packages_SMD:SOT-223-3Lead_TabPin2","","AP2114H-3.3TRG1","","","",""
"C7","10uF","Capacitors_SMD:C_0805_HandSoldering","","GRM21BC80J106KE19L","","","",""
"C6","10uF","Capacitors_SMD:C_0805_HandSoldering","","GRM21BC80J106KE19L","","","",""
"D7","Rx","LEDs:LED_0805_HandSoldering","","APT2012SGC","","","",""
"D6","ON","LEDs:LED_0805_HandSoldering","","AP2012EC","","","",""
"R9","120R","Resistors_SMD:R_0805_HandSoldering","","RMC1/10K1200FTP","","","",""
"R11","120R","Resistors_SMD:R_0805_HandSoldering","","RMC1/10K1200FTP","","","",""
"J10","USB_B","USB:629105150521",""
